id;taxon
Cyc1;C. luteus
Cyc2;C. luteus
Cyc3;C. luteus
Cyc4;C. luteus
Cyc5;C. luteus
Cyc6;C. luteus
Cyc7;C. luteus
Cyc8;C. luteus
Cyc9;C. variegatus
Cyc10;C. variegatus
Cyc14;C. variegatus
Cyc15;C. variegatus
Cyc16;C. variegatus
Cyc17;C. variegatus
Cyc18;C. luteus
Cyc21;C. variegatus
Cyc22;C. variegatus
Cyc23;C. variegatus
Cyc24;C. luteus
Cyc25;C. luteus
Cyc26;C. luteus
Cyc28;C. luteus
Cyc29;C. luteus
Cyc30;C. luteus
Cyc31;C. luteus
Cyc32;C. variegatus
Cyc34;C. variegatus
Cyc35;C. variegatus
Cyc36;C. variegatus
Cyc39;C. luteus
Cyc40;C. luteus
Cyc41;C. luteus